id,product_name,primary_supplier,alternate_supplier,lead_time_days
1,Bleeder Screw (M10x1.0),14,17,77
2,Brake Caliper Housing (Front Right),16,9,17
3,Factory Floor Cleaning Chemicals,13,9,17
4,Caliper Piston Seal Kit,17,9,74
5,Heat Treatment Services (Quenching),14,9,80
6,ERP Software License (Annual),17,4,40
7,Brake Caliper Bleeder Valve Cap,14,7,35
8,Wear Indicator Sensor,9,16,47
9,Pressure Modulator Valve,2,9,71
10,Brake Pad Retainer Spring,16,6,62
11,Propulsion Shaft Flange,17,4,22
12,Aluminum Billets (Caliper),2,1,76
13,Lug Nut (M12x1.5),16,13,16
14,Caliper Hardware Kit,1,8,88
15,DOT4 Brake Fluid Base Stock,4,6,21
16,Vacuum Hose (Brake Booster),13,7,11
17,Spindle Nut Washer,1,9,59
18,"Copper Brake Line Tubing (1/4"")",6,14,60
19,Hydraulic Control Unit (HCU) Valve,1,17,88
20,Brake Fluid Reservoir,4,2,61
